text,label,label_quality_score,is_label_issue,pred_prob_normal,pred_prob_smishing
곧 입장하실 차례입니다 <URL>,1,0.8564821,False,0.14351797,0.8564821
resi 줄거리 시작 lac 전용 문이 있는 사회 km frm 지하철 fngisbt 하수구 전기 작업 완료 즉시 등록소 소유 cl,1,0.8457928,False,0.15420727,0.8457928
안녕하세요 S - 신규L - / / O - CODE T - str-⑦⑦⑦.com[FW],1,0.88032085,False,0.119679146,0.88032085
"아니요, 투표에 관심을 갖고 투표하는 사람만이 패자의 몫이라고 정했습니다.",0,0.92800117,False,0.92800117,0.071998864
그럼 내가 갈게.. 또 보자 토몰로..,0,0.9173356,False,0.9173356,0.0826644
"내손안에 행. 운 B B 2,/먄. 부 터 푸 근 하 게 가,/족./방까즤 bit.ly/gr d s com",1,0.8392377,False,0.1607623,0.8392377
지금 무엇을해야합니까?,0,0.9279091,False,0.9279091,0.07209096
내 생각엔 그녀의 방법이나 뭐 그런 것 같아,0,0.9335217,False,0.9335217,0.06647834
RWG: APR - We Miss You! Book your Welcome Back FREE room online at <URL> . T C apply.,1,0.7967615,False,0.20323846,0.7967615
긴급한! 귀하의 휴대폰 번호는 2000의 상금을 보장받으며 동일한 혜택을 누리게 됩니다. 유선 전화로 <PHONE> 에 전화하세요. 3030을 청구하세요. 12시간 동안만 유효합니다. 150ppm,1,0.89471394,False,0.10528604,0.89471394
[국세청] 세금 환급 신청 안내. 금액 확인 후 인증 <URL>,1,0.89994353,False,0.100056484,0.89994353
새 프로젝트 G.T.M Greens 럭셔리 앱 - Sonepat(delhi NCR) 엉덩이 및 지원 DHFL 가격:1529/-sq.ft 면적 2bhk-1250 3bhk-1650sq.ft <PHONE>,0,0.11415631,True,0.11415631,0.8858437
vodafone Love 특별 제안 rs로 makemytrip rs 무료 상품권을 받거나 돈을 돌려받으세요 지금 확인하세요 httpmmydelightsinpr를 클릭하세요,1,0.89730036,False,0.102699645,0.89730036
집에 가는 길에 1달러짜리 햄버거를 사야 할 거예요. 움직일 수도 없어요. 고통이 나를 죽이고 있다.,0,0.92789453,False,0.92789453,0.07210551
CORE?CÅSlNO사고없이 년차운영중신 규 첫 충 e 3.com,1,0.89646035,False,0.10353962,0.89646035
또 호들갑떨고있네. 맨날 기온 뚝이래. 에라이 구라청.,0,0.90701854,False,0.90701854,0.092981495
"안녕하세요, 음식 재충전 여행 쇼핑을 위한 JD 앱을 다운로드해 주셔서 감사합니다. 더 많은 스타 패스 제공 코드 spdmaml spukghpx pvrcinemax에서 무료 티켓을 사용하세요. Singh의 무료 티켓은 10월의 모든 쇼에 블링됩니다. 친구도 티켓을 얻을 수 있습니다. 지금 jd 앱 공유 httpjsdlintermspromo 팀 justdial",1,0.8972235,False,0.10277651,0.8972235
응 괜찮을 거야,0,0.92708355,False,0.92708355,0.072916485
알겠습니다 그럼 고맙습니다,0,0.9253195,False,0.9253195,0.07468053
"아차 형, 나 자고 내일 2시에 만나길 바라",0,0.92974705,False,0.92974705,0.07025298
왜 전화할 수 없는지 모르겠습니다 ):,0,0.9269945,False,0.9269945,0.07300548
rs 제안 ka extragb g 유효일 적립 확인 전화 걸기 가족 친구와 무료 공유 팩 SMS 숫자 추가 mob no,1,0.87883115,False,0.12116886,0.87883115
"친애하는 고객님, 귀하의 지갑이 수집되어 금액을 압수했습니다. kyc를 완료해 주세요. 고객 관리 센터에 문의하세요. <PHONE>",1,0.84133315,False,0.15866686,0.84133315
농구하러 가다,0,0.9244892,False,0.9244892,0.07551079
"친애하는 고객님께 축하드립니다. SNAPDEAL.COM PVT.LTD에서 제품을 주문하셨습니다. 범퍼 dhamka COMPANY 행운 추첨을 열려면 귀하의 이름이 필요합니다. MAHINDRA XUV500 CAR 비용 RS 14,85,000.00 두 가지 옵션을 받았습니다. 첫 번째 옵션 MAHINDRA XUV500 CAR 두 번째 옵션 현금 14,85,000.00 등록 수수료 전 Rs.14,850로 지불하세요 TR 종이 요금만 Rs.7,400으로 지불하세요. 자세한 내용은 저에게 연락하세요. 모바일 도움말 번호 <PHONE>",1,0.8274585,False,0.17254147,0.8274585
지금도 각종 방송에서 한수지노래로 되게많이 사용되는데 ... 요즘시대가 어느땐데 허튼 수작질이냐!!,0,0.9201156,False,0.9201156,0.0798844
?새가입 _만 _만출금현장: entr ⑥.com SANDS[카] 새오픈!!? 편한 모바일 go![M ],1,0.8902006,False,0.10979942,0.8902006
죄송합니다 하하 죄송합니다 아직 식사 중이셨으면 좋겠습니다,0,0.92138636,False,0.92138636,0.07861364
"아름다움에 감탄해요, 당신과의 만남은 운명 같아요. 제 이름은 Sarah, 뉴욕의 배우랍니다. 우리 관계를 발전시키며 특별한 추억을 만들어요? whatsapp SarahNYC",1,0.17539307,True,0.82460696,0.17539307
telenor 최고의 데이터 제공 rc로 gb 데이터 rs rechg 유효 기간 동안 gb 데이터를 즐기세요. 오늘 서둘러 재충전하세요. 이 제안을 이용하려면 전화하세요.,1,0.8015494,False,0.19845061,0.8015494
슈퍼 세일 최대 오프 더 벨라 패밀리 쇼룸 남성 여성 키즈 에스닉 웨어 벨라 간디담 연락처,1,0.8952427,False,0.10475734,0.8952427
콜게이트 페인 아웃(colgate pain out)은 단 몇 분만에 치과의사를 위한 임상적으로 효과적인 완화를 제공합니다. 이제 계획을 세우세요.,0,0.897295,False,0.897295,0.102705
ㅋㅋㅋ 알았어 하하하 그래서 < >에 TMR이 있나요? 지금 등록 중인가요?,0,0.9274174,False,0.9274174,0.0725826
그들이 말한 제품이 없다고 하는데 필요한 제품이 있는지 Walmart에서 확인 중입니다.,0,0.91736794,False,0.91736794,0.08263208
"친애하는 모든 거래자 여러분, 오늘 제안 제안 제안 당신은 우리의 연간 반기별 및 분기별 패키지에 가입하세요 제안은 오늘 오후까지 유효합니다. 서둘러 서비스에 가입하세요 wwwsaiproficientcom",0,0.159831,True,0.159831,0.840169
