user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
스미싱 공격자들이 왜 심리적 트리거를 사용해서 사람들 속이려고 하는 거야?,"['\n 스미싱(Smishing)에서 활용되는 심리적 트리거 분석\n\n스미싱은 SMS와 피싱(Phishing)의 합성어로, 문자 메시지를 매개체로 활용하는\n사회공학(Social Engineering) 공격이다. 범죄심리학적 관점에서 스미싱 공격자는\n다음과 같은 핵심 인지 편향(cognitive bias)을 이용한다.\n\n1.  긴급성 편향(Urgency Bias)\n   피해자로 하여금 즉각적 행동을 유발하기 위해 ""24시간 내 미확인 시 계좌 정지"",\n   ""오늘까지 처리하지 않으면 법적 불이익"" 등의 문구를 삽입한다. 이는 시스템 1\n   사고(System 1 thinking, Kahneman 2011)를 자극하여 이성적 검토를 우회한다.\n\n2.  권위 편향(Authority Bias)\n   국세청, 건강보험공단, 금융감독원, 경찰청 등 공공기관을 사칭하면 수신자는\n   메시지의 진위 여부를 의심하지 않고 복종하는 경향을 보인다. 밀그램의 복종\n   실험(Milgram, 1963)이 시사하듯, 권위있는 발신자를 인식할 때 판단 능력이\n   현저히 저하된다.\n\n3.  희소성 편향(Scarcity Bias)\n   ""선착순 100명"", ""오늘만 가능한 무료 환급"" 등 한정된 기회를 제시하여\n   손실 회피 심리(loss aversion)를 자극한다. Cialdini(2009)의 설득 원칙 중\n   희소성(Scarcity) 원칙이 이에 해당한다.\n\n4. ']","스미싱 공격자들은 심리적 트리거를 사용하여 사람들을 속이려는 이유는 긴급성 편향, 권위 편향, 희소성 편향과 같은 핵심 인지 편향을 이용하여 피해자에게 즉각적인 행동을 유발하고, 메시지의 진위 여부를 의심하지 않게 하며, 손실 회피 심리를 자극하기 위해서입니다.",금융보안 담당자,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
Waht are some exmaples of smishing invloving 국민은행?,"['\n신종 스미싱 기법 분류 및 사례 (2023-2025)\n\n1.  보이스피싱 연계형 멀티채널 스미싱(Multi-Channel Smishing)\n   초기 문자로 피해자의 관심을 유도한 후, 가짜 고객센터 번호로 전화를 유도하여\n   원격 제어 앱(AnyDesk, TeamViewer 위장)을 설치하도록 유도하는 방식이다.\n   예시 문자: ""[국민은행] 해외 결제 시도 감지. 본인 아닌 경우 즉시 고객센터\n   080-XXX-XXXX 로 연락 바랍니다.""\n\n2.  QR코드 스미싱(Quishing)\n   문자 내 QR코드 이미지를 삽입하여 악성 URL 필터링을 우회한다. QR코드를\n   스캔하면 피싱 사이트로 리다이렉트되거나 악성 APK가 자동 다운로드된다.\n   예시 문자: ""[주차 위반 과태료 안내] 아래 QR코드로 고지서 확인 및 납부 가능합니다.""\n\n3.  딥페이크 연계 스미싱(Deepfake-augmented Smishing)\n   지인이나 기업 임원으로 위장한 AI 생성 음성/영상 링크를 첨부하여 신뢰도를\n   극도로 높인다. 2024년 국내에서 가족 목소리를 합성하여 ""교통사고 치료비\n   송금"" 등을 요구하는 사례가 보고되었다.\n\n4.  세금·환급 사기형(Tax Refund Smishing)\n   연말정산, 건강보험료 환급 시즌에 집중 발생. 실제 환급금보다 소액을\n   제시하여 의심을 낮추고, 과세정보 입력 명목으로 금융정보를 탈취한다.\n   예시 문자: ""[국세청] 귀하의 2024년 종합소득세 환급금 32,400원이 미수령\n   상태입니다. 아래 링크에서 계좌를 등록해 주세요.""\n\n5. ']","One example of smishing involving 국민은행 is the multi-channel smishing technique, where an initial text message lures the victim's interest and then directs them to call a fake customer service number. The message might say, ""[국민은행] 해외 결제 시도 감지. 본인 아닌 경우 즉시 고객센터 080-XXX-XXXX 로 연락 바랍니다."" This method aims to trick the victim into installing a remote control app disguised as AnyDesk or TeamViewer.",사이버범죄 수사관,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
What is the role of Mitnick in the context of social engineering?,"['\n 스미싱 텍스트에서 나타나는 사회공학적 언어 패턴 분석\n\n사회공학(Social Engineering)은 기술적 취약점이 아닌 인간의 심리적·사회적\n취약점을 공략하는 공격 방법론이다(Mitnick & Simon, 2002). 스미싱 문자에서\n관찰되는 주요 언어 패턴은 다음과 같다.\n\n 가. 위협-구제 프레임(Threat-Relief Frame)\n    메시지는 위협을 제시한 뒤 즉각적 구제책(URL 클릭, 전화)을 제공한다.\n    두뇌는 공포 자극(amygdala 활성화) 후 해결책 지향 행동으로 이동하는\n    성질이 있어, 피해자는 발신자를 \'구원자\'로 인식하게 된다.\n    구조: ""[위협] 계좌가 정지될 수 있습니다 → [해결책] 지금 링크에서 인증""\n\n 나. 모호한 개인화(Pseudo-Personalization)\n    성별 중립적 표현(""고객님"", ""귀하"")과 함께 실제 마지막 4자리 카드번호,\n    주민등록 앞자리 등을 삽입하면 피해자는 \'나만 수신한 공식 메시지\'로\n    오인한다. 이를 표적형 스미싱(Spear Smishing)이라 한다.\n\n 다. 마찰 제거(Friction Reduction)\n    링크 단축(URL shortener), 원클릭 인증 버튼, 자동 양식 완성 등을 통해\n    피해자가 행동하기 전 발생하는 인지적 마찰을 최소화한다.\n\n']",Mitnick is referenced in the context of social engineering as an authority on the methodology that exploits psychological and social vulnerabilities rather than technical weaknesses.,디지털 취약계층 교육 강사,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
"KoBERT 어떻게 스미싱 탐지에 사용되나요, 그리고 어떤 성능을 보이나요?","['\n스미싱 탐지 시스템의 기술적 접근 방법론\n\n 1. 규칙 기반 탐지(Rule-Based Detection)\n   블랙리스트 URL, 정규표현식 패턴, 특정 키워드 필터를 활용한다.\n   장점: 해석 용이, 빠른 처리 속도\n   단점: 변형 공격(obfuscation)에 취약, 높은 오탐률(false positive)\n   주요 규칙 예시:\n   - 단축 URL 포함 여부(bit.ly, tinyurl, ow.ly 등)\n   - 기관명 유사 도메인(예: ""kgb-nts[.]kr"", ""국세청-환급[.]com"")\n   - 특수문자를 활용한 한글 우회(""ㅏ"" → ""а"" Cyrillic 대체 등)\n\n 2. 머신러닝 기반 탐지(ML-Based Detection)\n   TF-IDF, Word2Vec, FastText 등으로 벡터화 후 SVM, Random Forest,\n   XGBoost 분류기를 사용한다. 특징(feature) 엔지니어링이 성능에 큰 영향을 미침.\n   주요 피처:\n   - 긴급성 어휘 빈도, 기관명 토큰, URL 포함 여부\n   - 문자 길이, 특수기호 비율, 숫자 비율\n\n 3. 딥러닝 기반 탐지(DL-Based Detection)\n   BERT, RoBERTa, KoBERT 등 사전학습 언어모델을 파인튜닝하여\n   문맥(context)을 활용한 탐지를 수행한다.\n   최신 연구(2024)에서 KoBERT fine-tuning 기반 분류기는\n   F1-score 0.97 이상을 달성하였으나, 도메인 변이에 대한\n   일반화 성능은 지속적인 모니터링이 필요하다.\n\n']","KoBERT는 사전학습 언어모델로, 문맥을 활용한 탐지를 수행하기 위해 파인튜닝됩니다. 최신 연구에서 KoBERT fine-tuning 기반 분류기는 F1-score 0.97 이상을 달성하였으나, 도메인 변이에 대한 일반화 성능은 지속적인 모니터링이 필요합니다.",사이버범죄 수사관,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
How do deepfake-augmented smishing attacks impersonate legitimate companies to deceive victims?,"['<1-hop>\n\n\n신종 스미싱 기법 분류 및 사례 (2023-2025)\n\n1.  보이스피싱 연계형 멀티채널 스미싱(Multi-Channel Smishing)\n   초기 문자로 피해자의 관심을 유도한 후, 가짜 고객센터 번호로 전화를 유도하여\n   원격 제어 앱(AnyDesk, TeamViewer 위장)을 설치하도록 유도하는 방식이다.\n   예시 문자: ""[국민은행] 해외 결제 시도 감지. 본인 아닌 경우 즉시 고객센터\n   080-XXX-XXXX 로 연락 바랍니다.""\n\n2.  QR코드 스미싱(Quishing)\n   문자 내 QR코드 이미지를 삽입하여 악성 URL 필터링을 우회한다. QR코드를\n   스캔하면 피싱 사이트로 리다이렉트되거나 악성 APK가 자동 다운로드된다.\n   예시 문자: ""[주차 위반 과태료 안내] 아래 QR코드로 고지서 확인 및 납부 가능합니다.""\n\n3.  딥페이크 연계 스미싱(Deepfake-augmented Smishing)\n   지인이나 기업 임원으로 위장한 AI 생성 음성/영상 링크를 첨부하여 신뢰도를\n   극도로 높인다. 2024년 국내에서 가족 목소리를 합성하여 ""교통사고 치료비\n   송금"" 등을 요구하는 사례가 보고되었다.\n\n4.  세금·환급 사기형(Tax Refund Smishing)\n   연말정산, 건강보험료 환급 시즌에 집중 발생. 실제 환급금보다 소액을\n   제시하여 의심을 낮추고, 과세정보 입력 명목으로 금융정보를 탈취한다.\n   예시 문자: ""[국세청] 귀하의 2024년 종합소득세 환급금 32,400원이 미수령\n   상태입니다. 아래 링크에서 계좌를 등록해 주세요.""\n\n5. ', '<2-hop>\n\n패키지 배송 사칭형(Parcel Smishing)\n   택배 배송 알림으로 위장하며, 주소 재입력 또는 관세 납부를 명목으로\n   신용카드 정보를 요구한다. CJLOGISTICS, CJ대한통운 등 실제 기업명을\n   무단 도용한다.\n   예시 문자: ""[CJ대한통운] 주소 불명확으로 배송 보류. 48시간 내 재입력\n   하지 않으면 반송됩니다: http://cj-tracking[.]xyz/re""\n\n6. 구독 해지 유도형(Subscription Cancellation Smishing)\n   넷플릭스, 유튜브 프리미엄 등 구독 서비스의 결제 실패를 사칭하여\n   카드 정보 재입력을 유도한다.\n   예시 문자: ""[Netflix] 결제 수단에 문제가 발생하여 서비스 이용이 중단될\n   예정입니다. 지금 바로 결제 정보를 업데이트하세요.""\n']","Deepfake-augmented smishing attacks impersonate legitimate companies by using AI-generated voice or video links to increase credibility. For instance, attackers may disguise themselves as company executives or family members, as seen in a 2024 case in South Korea where a family member's voice was synthesized to request money for 'traffic accident treatment.' This method significantly enhances the trustworthiness of the scam, making it more convincing to the victim.",,,,multi_hop_abstract_query_synthesizer
"How do AI-generated voice/video and social engineering techniques enhance the effectiveness of smishing attacks, particularly in the context of deepfake-augmented smishing?","['<1-hop>\n\n\n신종 스미싱 기법 분류 및 사례 (2023-2025)\n\n1.  보이스피싱 연계형 멀티채널 스미싱(Multi-Channel Smishing)\n   초기 문자로 피해자의 관심을 유도한 후, 가짜 고객센터 번호로 전화를 유도하여\n   원격 제어 앱(AnyDesk, TeamViewer 위장)을 설치하도록 유도하는 방식이다.\n   예시 문자: ""[국민은행] 해외 결제 시도 감지. 본인 아닌 경우 즉시 고객센터\n   080-XXX-XXXX 로 연락 바랍니다.""\n\n2.  QR코드 스미싱(Quishing)\n   문자 내 QR코드 이미지를 삽입하여 악성 URL 필터링을 우회한다. QR코드를\n   스캔하면 피싱 사이트로 리다이렉트되거나 악성 APK가 자동 다운로드된다.\n   예시 문자: ""[주차 위반 과태료 안내] 아래 QR코드로 고지서 확인 및 납부 가능합니다.""\n\n3.  딥페이크 연계 스미싱(Deepfake-augmented Smishing)\n   지인이나 기업 임원으로 위장한 AI 생성 음성/영상 링크를 첨부하여 신뢰도를\n   극도로 높인다. 2024년 국내에서 가족 목소리를 합성하여 ""교통사고 치료비\n   송금"" 등을 요구하는 사례가 보고되었다.\n\n4.  세금·환급 사기형(Tax Refund Smishing)\n   연말정산, 건강보험료 환급 시즌에 집중 발생. 실제 환급금보다 소액을\n   제시하여 의심을 낮추고, 과세정보 입력 명목으로 금융정보를 탈취한다.\n   예시 문자: ""[국세청] 귀하의 2024년 종합소득세 환급금 32,400원이 미수령\n   상태입니다. 아래 링크에서 계좌를 등록해 주세요.""\n\n5. ', '<2-hop>\n\n\n 실제 스미싱 문자 사례 및 분석 (한국 KISA 신고 기반, 2023-2025)\n\n [사례 1] 공공기관 사칭 + 과태료 결제 유도\n원문: ""[교통범칙금 안내] 귀하의 차량(12가3456)이 20XX-03-15 속도위반으로\n적발되었습니다. 미납 시 면허 정지 조치됩니다. 납부: http://fine-pay[.]top""\n분석:\n- 차량번호 삽입 → 표적형 개인화로 신뢰도 상승\n- 미납 시 불이익 → 위협-구제 프레임\n- 변조 도메인(fine-pay[.]top) → 합법성 신호 모방\n\n [사례 2] 건강보험 환급 사기\n원문: ""[국민건강보험공단] 2024년 건강보험료 과납분 87,600원 환급 대상입니다.\n7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund[.]net/req""\n분석:\n- 소액 환급 → 가치 있는 정보처럼 보이나 의심 임계값 하회\n- 7일 소멸 → 인위적 마감기한\n- 실제 공단 도메인(nhis.or.kr)과 유사한 피싱 도메인\n\n [사례 3] 가족 사칭 긴급 자금 요청\n원문: ""엄마 나 핸드폰 고장났어. 친구 폰 빌렸어. 급하게 30만원만 보내줘.\n계좌: 신한 110-XXX-XXXXX (홍길동). 나중에 꼭 갚을게""\n분석:\n- 가족 관계 사칭 → 정서적 유대 악용(감성적 사회공학)\n- 기기 고장 명목 → 검증 불가 조건 설정\n- URL 미포함 → 기존 URL 필터 우회\n\n', '<3-hop>\n\n\n 스미싱 텍스트에서 나타나는 사회공학적 언어 패턴 분석\n\n사회공학(Social Engineering)은 기술적 취약점이 아닌 인간의 심리적·사회적\n취약점을 공략하는 공격 방법론이다(Mitnick & Simon, 2002). 스미싱 문자에서\n관찰되는 주요 언어 패턴은 다음과 같다.\n\n 가. 위협-구제 프레임(Threat-Relief Frame)\n    메시지는 위협을 제시한 뒤 즉각적 구제책(URL 클릭, 전화)을 제공한다.\n    두뇌는 공포 자극(amygdala 활성화) 후 해결책 지향 행동으로 이동하는\n    성질이 있어, 피해자는 발신자를 \'구원자\'로 인식하게 된다.\n    구조: ""[위협] 계좌가 정지될 수 있습니다 → [해결책] 지금 링크에서 인증""\n\n 나. 모호한 개인화(Pseudo-Personalization)\n    성별 중립적 표현(""고객님"", ""귀하"")과 함께 실제 마지막 4자리 카드번호,\n    주민등록 앞자리 등을 삽입하면 피해자는 \'나만 수신한 공식 메시지\'로\n    오인한다. 이를 표적형 스미싱(Spear Smishing)이라 한다.\n\n 다. 마찰 제거(Friction Reduction)\n    링크 단축(URL shortener), 원클릭 인증 버튼, 자동 양식 완성 등을 통해\n    피해자가 행동하기 전 발생하는 인지적 마찰을 최소화한다.\n\n']","AI-generated voice/video and social engineering techniques significantly enhance the effectiveness of smishing attacks by increasing the perceived credibility and urgency of the messages. In the context of deepfake-augmented smishing, attackers use AI-generated voices or videos to impersonate trusted individuals, such as family members or corporate executives, thereby exploiting emotional bonds and trust. This method is particularly effective as it combines the realistic impersonation capabilities of AI with social engineering tactics like pseudo-personalization and threat-relief framing. For instance, in 2024, there were reported cases in South Korea where attackers synthesized family members' voices to request urgent money transfers for 'traffic accident treatment fees.' This approach leverages the victim's emotional response and reduces skepticism, making the attack more convincing and successful.",,,,multi_hop_abstract_query_synthesizer
How AI-generated voice/video and social engineering are used in smishing attacks?,"['<1-hop>\n\n\n신종 스미싱 기법 분류 및 사례 (2023-2025)\n\n1.  보이스피싱 연계형 멀티채널 스미싱(Multi-Channel Smishing)\n   초기 문자로 피해자의 관심을 유도한 후, 가짜 고객센터 번호로 전화를 유도하여\n   원격 제어 앱(AnyDesk, TeamViewer 위장)을 설치하도록 유도하는 방식이다.\n   예시 문자: ""[국민은행] 해외 결제 시도 감지. 본인 아닌 경우 즉시 고객센터\n   080-XXX-XXXX 로 연락 바랍니다.""\n\n2.  QR코드 스미싱(Quishing)\n   문자 내 QR코드 이미지를 삽입하여 악성 URL 필터링을 우회한다. QR코드를\n   스캔하면 피싱 사이트로 리다이렉트되거나 악성 APK가 자동 다운로드된다.\n   예시 문자: ""[주차 위반 과태료 안내] 아래 QR코드로 고지서 확인 및 납부 가능합니다.""\n\n3.  딥페이크 연계 스미싱(Deepfake-augmented Smishing)\n   지인이나 기업 임원으로 위장한 AI 생성 음성/영상 링크를 첨부하여 신뢰도를\n   극도로 높인다. 2024년 국내에서 가족 목소리를 합성하여 ""교통사고 치료비\n   송금"" 등을 요구하는 사례가 보고되었다.\n\n4.  세금·환급 사기형(Tax Refund Smishing)\n   연말정산, 건강보험료 환급 시즌에 집중 발생. 실제 환급금보다 소액을\n   제시하여 의심을 낮추고, 과세정보 입력 명목으로 금융정보를 탈취한다.\n   예시 문자: ""[국세청] 귀하의 2024년 종합소득세 환급금 32,400원이 미수령\n   상태입니다. 아래 링크에서 계좌를 등록해 주세요.""\n\n5. ', '<2-hop>\n\n\n 실제 스미싱 문자 사례 및 분석 (한국 KISA 신고 기반, 2023-2025)\n\n [사례 1] 공공기관 사칭 + 과태료 결제 유도\n원문: ""[교통범칙금 안내] 귀하의 차량(12가3456)이 20XX-03-15 속도위반으로\n적발되었습니다. 미납 시 면허 정지 조치됩니다. 납부: http://fine-pay[.]top""\n분석:\n- 차량번호 삽입 → 표적형 개인화로 신뢰도 상승\n- 미납 시 불이익 → 위협-구제 프레임\n- 변조 도메인(fine-pay[.]top) → 합법성 신호 모방\n\n [사례 2] 건강보험 환급 사기\n원문: ""[국민건강보험공단] 2024년 건강보험료 과납분 87,600원 환급 대상입니다.\n7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund[.]net/req""\n분석:\n- 소액 환급 → 가치 있는 정보처럼 보이나 의심 임계값 하회\n- 7일 소멸 → 인위적 마감기한\n- 실제 공단 도메인(nhis.or.kr)과 유사한 피싱 도메인\n\n [사례 3] 가족 사칭 긴급 자금 요청\n원문: ""엄마 나 핸드폰 고장났어. 친구 폰 빌렸어. 급하게 30만원만 보내줘.\n계좌: 신한 110-XXX-XXXXX (홍길동). 나중에 꼭 갚을게""\n분석:\n- 가족 관계 사칭 → 정서적 유대 악용(감성적 사회공학)\n- 기기 고장 명목 → 검증 불가 조건 설정\n- URL 미포함 → 기존 URL 필터 우회\n\n', '<3-hop>\n\n\n 스미싱(Smishing)에서 활용되는 심리적 트리거 분석\n\n스미싱은 SMS와 피싱(Phishing)의 합성어로, 문자 메시지를 매개체로 활용하는\n사회공학(Social Engineering) 공격이다. 범죄심리학적 관점에서 스미싱 공격자는\n다음과 같은 핵심 인지 편향(cognitive bias)을 이용한다.\n\n1.  긴급성 편향(Urgency Bias)\n   피해자로 하여금 즉각적 행동을 유발하기 위해 ""24시간 내 미확인 시 계좌 정지"",\n   ""오늘까지 처리하지 않으면 법적 불이익"" 등의 문구를 삽입한다. 이는 시스템 1\n   사고(System 1 thinking, Kahneman 2011)를 자극하여 이성적 검토를 우회한다.\n\n2.  권위 편향(Authority Bias)\n   국세청, 건강보험공단, 금융감독원, 경찰청 등 공공기관을 사칭하면 수신자는\n   메시지의 진위 여부를 의심하지 않고 복종하는 경향을 보인다. 밀그램의 복종\n   실험(Milgram, 1963)이 시사하듯, 권위있는 발신자를 인식할 때 판단 능력이\n   현저히 저하된다.\n\n3.  희소성 편향(Scarcity Bias)\n   ""선착순 100명"", ""오늘만 가능한 무료 환급"" 등 한정된 기회를 제시하여\n   손실 회피 심리(loss aversion)를 자극한다. Cialdini(2009)의 설득 원칙 중\n   희소성(Scarcity) 원칙이 이에 해당한다.\n\n4. ']","AI-generated voice/video is used in smishing attacks by creating deepfake content that impersonates acquaintances or corporate executives, significantly increasing the credibility of the scam. An example from 2024 in South Korea involved synthesizing a family member's voice to request money for 'traffic accident treatment.' Social engineering in smishing exploits cognitive biases such as urgency, authority, and scarcity to manipulate victims. Attackers use urgent language to prompt immediate action, impersonate authoritative institutions to gain trust, and create a sense of scarcity to pressure victims into compliance.",,,,multi_hop_abstract_query_synthesizer
How does deepfake-augmented smishing exploit impersonation of legitimate companies?,"['<1-hop>\n\n\n신종 스미싱 기법 분류 및 사례 (2023-2025)\n\n1.  보이스피싱 연계형 멀티채널 스미싱(Multi-Channel Smishing)\n   초기 문자로 피해자의 관심을 유도한 후, 가짜 고객센터 번호로 전화를 유도하여\n   원격 제어 앱(AnyDesk, TeamViewer 위장)을 설치하도록 유도하는 방식이다.\n   예시 문자: ""[국민은행] 해외 결제 시도 감지. 본인 아닌 경우 즉시 고객센터\n   080-XXX-XXXX 로 연락 바랍니다.""\n\n2.  QR코드 스미싱(Quishing)\n   문자 내 QR코드 이미지를 삽입하여 악성 URL 필터링을 우회한다. QR코드를\n   스캔하면 피싱 사이트로 리다이렉트되거나 악성 APK가 자동 다운로드된다.\n   예시 문자: ""[주차 위반 과태료 안내] 아래 QR코드로 고지서 확인 및 납부 가능합니다.""\n\n3.  딥페이크 연계 스미싱(Deepfake-augmented Smishing)\n   지인이나 기업 임원으로 위장한 AI 생성 음성/영상 링크를 첨부하여 신뢰도를\n   극도로 높인다. 2024년 국내에서 가족 목소리를 합성하여 ""교통사고 치료비\n   송금"" 등을 요구하는 사례가 보고되었다.\n\n4.  세금·환급 사기형(Tax Refund Smishing)\n   연말정산, 건강보험료 환급 시즌에 집중 발생. 실제 환급금보다 소액을\n   제시하여 의심을 낮추고, 과세정보 입력 명목으로 금융정보를 탈취한다.\n   예시 문자: ""[국세청] 귀하의 2024년 종합소득세 환급금 32,400원이 미수령\n   상태입니다. 아래 링크에서 계좌를 등록해 주세요.""\n\n5. ', '<2-hop>\n\n패키지 배송 사칭형(Parcel Smishing)\n   택배 배송 알림으로 위장하며, 주소 재입력 또는 관세 납부를 명목으로\n   신용카드 정보를 요구한다. CJLOGISTICS, CJ대한통운 등 실제 기업명을\n   무단 도용한다.\n   예시 문자: ""[CJ대한통운] 주소 불명확으로 배송 보류. 48시간 내 재입력\n   하지 않으면 반송됩니다: http://cj-tracking[.]xyz/re""\n\n6. 구독 해지 유도형(Subscription Cancellation Smishing)\n   넷플릭스, 유튜브 프리미엄 등 구독 서비스의 결제 실패를 사칭하여\n   카드 정보 재입력을 유도한다.\n   예시 문자: ""[Netflix] 결제 수단에 문제가 발생하여 서비스 이용이 중단될\n   예정입니다. 지금 바로 결제 정보를 업데이트하세요.""\n']","Deepfake-augmented smishing exploits impersonation of legitimate companies by using AI-generated voice or video links to impersonate trusted individuals or corporate executives, thereby significantly increasing the credibility of the scam. This method has been reported in cases where family members' voices were synthesized to request money for 'traffic accident treatment fees,' demonstrating the potential for impersonating legitimate entities to deceive victims.",,,,multi_hop_abstract_query_synthesizer
"What are the advantages and limitations of using deep learning models like KoBERT for smishing detection, and how does the 2024 research highlight its performance and challenges?","['<1-hop>\n\n\n스미싱 탐지 시스템의 기술적 접근 방법론\n\n 1. 규칙 기반 탐지(Rule-Based Detection)\n   블랙리스트 URL, 정규표현식 패턴, 특정 키워드 필터를 활용한다.\n   장점: 해석 용이, 빠른 처리 속도\n   단점: 변형 공격(obfuscation)에 취약, 높은 오탐률(false positive)\n   주요 규칙 예시:\n   - 단축 URL 포함 여부(bit.ly, tinyurl, ow.ly 등)\n   - 기관명 유사 도메인(예: ""kgb-nts[.]kr"", ""국세청-환급[.]com"")\n   - 특수문자를 활용한 한글 우회(""ㅏ"" → ""а"" Cyrillic 대체 등)\n\n 2. 머신러닝 기반 탐지(ML-Based Detection)\n   TF-IDF, Word2Vec, FastText 등으로 벡터화 후 SVM, Random Forest,\n   XGBoost 분류기를 사용한다. 특징(feature) 엔지니어링이 성능에 큰 영향을 미침.\n   주요 피처:\n   - 긴급성 어휘 빈도, 기관명 토큰, URL 포함 여부\n   - 문자 길이, 특수기호 비율, 숫자 비율\n\n 3. 딥러닝 기반 탐지(DL-Based Detection)\n   BERT, RoBERTa, KoBERT 등 사전학습 언어모델을 파인튜닝하여\n   문맥(context)을 활용한 탐지를 수행한다.\n   최신 연구(2024)에서 KoBERT fine-tuning 기반 분류기는\n   F1-score 0.97 이상을 달성하였으나, 도메인 변이에 대한\n   일반화 성능은 지속적인 모니터링이 필요하다.\n\n']","Deep learning models such as KoBERT, when fine-tuned for smishing detection, offer the advantage of utilizing context for more accurate detection, as evidenced by a high F1-score of 0.97 achieved in 2024 research. However, these models face challenges in generalizing across domain variations, necessitating continuous monitoring to maintain performance.",,,,multi_hop_specific_query_synthesizer
"In the context of smishing and voice phishing crimes, how are new attack techniques in 2024 exploiting legal requirements and evidence collection methods?","['<1-hop>\n\n\n 실제 스미싱 문자 사례 및 분석 (한국 KISA 신고 기반, 2023-2025)\n\n [사례 1] 공공기관 사칭 + 과태료 결제 유도\n원문: ""[교통범칙금 안내] 귀하의 차량(12가3456)이 20XX-03-15 속도위반으로\n적발되었습니다. 미납 시 면허 정지 조치됩니다. 납부: http://fine-pay[.]top""\n분석:\n- 차량번호 삽입 → 표적형 개인화로 신뢰도 상승\n- 미납 시 불이익 → 위협-구제 프레임\n- 변조 도메인(fine-pay[.]top) → 합법성 신호 모방\n\n [사례 2] 건강보험 환급 사기\n원문: ""[국민건강보험공단] 2024년 건강보험료 과납분 87,600원 환급 대상입니다.\n7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund[.]net/req""\n분석:\n- 소액 환급 → 가치 있는 정보처럼 보이나 의심 임계값 하회\n- 7일 소멸 → 인위적 마감기한\n- 실제 공단 도메인(nhis.or.kr)과 유사한 피싱 도메인\n\n [사례 3] 가족 사칭 긴급 자금 요청\n원문: ""엄마 나 핸드폰 고장났어. 친구 폰 빌렸어. 급하게 30만원만 보내줘.\n계좌: 신한 110-XXX-XXXXX (홍길동). 나중에 꼭 갚을게""\n분석:\n- 가족 관계 사칭 → 정서적 유대 악용(감성적 사회공학)\n- 기기 고장 명목 → 검증 불가 조건 설정\n- URL 미포함 → 기존 URL 필터 우회\n\n']","In 2024, new attack techniques in smishing and voice phishing crimes exploit legal requirements and evidence collection methods by using personalized targeting and mimicking legitimacy. For instance, a smishing message impersonating a public institution uses a vehicle number to increase credibility and threatens license suspension for unpaid fines, mimicking legal consequences. Another example involves a phishing message claiming a health insurance refund, using a domain similar to the legitimate one to deceive victims. These techniques challenge evidence collection by creating urgency and emotional manipulation, such as impersonating family members to request emergency funds, bypassing traditional URL filters.",,,,multi_hop_specific_query_synthesizer
