user_input,retrieved_contexts,response,reference,faithfulness,context_recall,answer_similarity
[국제발신] 신종 위장 사이버 사기 탐지 알림. 해외 IP에서 회원님의 명의로 비트코인 1.5BTC가 결제 시도되었습니다. 본인 요청이 아닐 경우 즉시 소비자원 링크(http://kca-protection-view.xyz)로 취소 접수하세요.,"['[Web발신] 안녕하세요. OO카드입니다. 해외 결제 500달러가 승인되었습니다. 본인 아닐 경우 즉시 고객센터 080-000-0000으로 연락 바랍니다.', '실제 스미싱 문자 사례 및 분석 (KISA 신고 기반). 공공기관 사칭 + 과태료 결제, 건강보험 환급 사기, 가족 사칭 긴급 자금 요청, 앱 업데이트 위장 악성코드, 정부 지원금 사기 등 다양한 실제 사례가 보고된다.', '[OO은행] 고객님 계좌 이상거래가 감지되었습니다. 아래 앱을 설치하여 본인 확인을 진행해주세요. http://bank-safe.net/app.apk']","{""is_smishing"": true, ""reason"": ""국제발신 문자는 해외 IP에서의 비트코인 결제 시도를 사칭하며, 소비자원 링크를 통해 취소 접수를 유도하는 위장 사이버 사기로 분류됩니다. 이는 실제 공공기관 사칭 스미싱 사례와 유사한 특징을 가지고 있습니다.""}","이 메시지는 신종 사칭형 스미싱입니다. 사용자가 가입하지 않은 해외 암호화폐 결제 알림을 위장하여 불안감을 조성한 뒤, 한국소비자원(KCA) 공공기관을 위장한 피싱 도메인(.xyz) 링크를 클릭하게 유도하여 악성 앱을 유포하는 제로데이 변종 패턴입니다.",0.25,1.0,0.8706134959636841
[Web발신] 국민비서 알림. 고령층 특별 재난지원금 및 연금 수급 관련 추가 정산금 미수령 안내. 대상자 조회를 위해 모바일 신분증 확인 링크를 누르세요. https://gukmin-secretary.site.,"['[OO은행] 고객님 계좌 이상거래가 감지되었습니다. 아래 앱을 설치하여 본인 확인을 진행해주세요. http://bank-safe.net/app.apk', '실제 스미싱 문자 사례 및 분석 (KISA 신고 기반). 공공기관 사칭 + 과태료 결제, 건강보험 환급 사기, 가족 사칭 긴급 자금 요청, 앱 업데이트 위장 악성코드, 정부 지원금 사기 등 다양한 실제 사례가 보고된다.', '[국외발신] 본인인증이 필요합니다. 아래 링크에서 주민등록번호와 계좌번호를 입력해 주세요. http://auth-kr.net/verify']","{""is_smishing"": true, ""reason"": ""국민비서라는 공공기관을 사칭하여 재난지원금 및 연금 수급 관련 사기 정보를 제공하고, 모바일 신분증 확인 링크를 통해 사생활 정보를 수집하려는 의도가 포함되어 있습니다. 이는 스미싱의 고유한 특징에 해당합니다.""}","이 메시지는 정부 지원 정책을 위장한 신종 스미싱입니다. '국민비서' 브랜드를 무단 도용하여 고령층 대상 추가 정산금이라는 허위 사실로 유도하고 있으며, 정부 공식 기관 주소(.go.kr)가 아닌 사설 도메인(.site)을 통해 개인정보 및 모바일 신분증 탈취를 시도합니다.",0.6666666666666666,1.0,0.8500677741664511
[Web발신] 모바일 등기우편 발송 완료. 본인 확인 부재로 반송 예정입니다. 전자문서 지갑을 통해 등기 내용을 실시간 확인하세요. https://epost-doc-gate.info.,"['[Web발신] 고객님 택배 배송 주소 불일치로 반송 예정입니다. 확인 후 재배송 신청 바랍니다. http://dn-track.xyz/re', '[Web발신] 안녕하세요. OO카드입니다. 해외 결제 500달러가 승인되었습니다. 본인 아닐 경우 즉시 고객센터 080-000-0000으로 연락 바랍니다.', '[국외발신] 본인인증이 필요합니다. 아래 링크에서 주민등록번호와 계좌번호를 입력해 주세요. http://auth-kr.net/verify']",": ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}((?:[/?#][^\s]*)?)""

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  

ZERODAY_SMISHING_PATTERN: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#][^\s]*)?""  
ZERODAY_SMISHING","이 메시지는 우정사업본부 배송 서비스를 위장한 신종 스미싱입니다. 등기우편 반송이라는 심리적 압박을 주어 사용자가 링크를 클릭하도록 유도하며, 금융결제원이나 우체국 공식 전자문서함이 아닌 외부 사칭 도메인을 사용하여 악성 APK 파일 다운로드를 실행합니다.",0.4,0.0,0.39823785629056296
"[국세청] 연말정산 환급금 미지급 안내. 귀하는 서류 미비로 인해 345,000원의 환급금이 보류되었습니다. 아래 주소에서 비대면 정정 신청 바랍니다. https://nts-hometax-ref.cc.","['[Web발신] 고객님 택배 배송 주소 불일치로 반송 예정입니다. 확인 후 재배송 신청 바랍니다. http://dn-track.xyz/re', '[국민건강보험공단] 2026년 건강보험료 과납분 87,600원 환급 대상입니다. 7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund.net/req', '[Web발신] 안녕하세요. OO카드입니다. 해외 결제 500달러가 승인되었습니다. 본인 아닐 경우 즉시 고객센터 080-000-0000으로 연락 바랍니다.']",": ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_2: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_3: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_4: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_5: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_6: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_7: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_8: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_9: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_10: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_11: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_12: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_13: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_14: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_15: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_16: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_17: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_18: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_19: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_20: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_21: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_22: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_23: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_24: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_25: ""https?://(?:[a-z0-9-]+\.)+[a-z]{2,6}(?:[/?#]|$)""
ZERODAY_SMISHING_PATTERN_26: ""https?://(?:[","이 메시지는 국세청 홈택스를 사칭한 세금 관련 변종 스미싱입니다. 연말정산 환급금이라는 금전적 보상을 미끼로 삼고 있으며, 세무 당국은 문자메시지로 .cc와 같은 비표준 해외 도메인 링크를 첨부하여 개인 세무 정보 수정을 요구하지 않습니다.",0.0,0.0,0.2989234738152867
[건강보험공단] 건강검진 미수검자 과태료 부과 예정 안내. 대상자 본인 확인 후 검진 일정 재예약 바랍니다. https://nhis-checkup-go.club,"['[국민건강보험공단] 2026년 건강보험료 과납분 87,600원 환급 대상입니다. 7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund.net/req', '[교통범칙금 안내] 귀하의 차량(12가3456)이 2026-03-15 속도위반으로 적발되었습니다. 미납 시 면허 정지 조치됩니다. 납부: http://fine-pay.top', '[Web발신] 고객님 택배 배송 주소 불일치로 반송 예정입니다. 확인 후 재배송 신청 바랍니다. http://dn-track.xyz/re']","{""is_smishing"": true, ""reason"": ""건강보험공단의 공식 홈페이지 주소는 nhis.or.kr이며, 제공된 링크는 nhis-checkup-go.club로 보안 검증되지 않은 도메인입니다. 또한, 공식 안내에서는 과태료 부과 예정 안내가 아니라 과납분 환급 관련 내용이었습니다. 이는 사기 이메일의 특징입니다.""}","이 메시지는 국민건강보험공단을 사칭한 공공기관형 스미싱입니다. 건강검진 미수검과 과태료 부과를 언급해 불안감을 조성하고, 공식 공단 도메인이 아닌 .club 사설 주소로 접속을 유도하여 개인정보 탈취를 시도합니다.",0.16666666666666666,0.0,0.735984964416118
[법원] 민사소송 출석 통지서가 도달되었습니다. 미확인 시 궐석재판 진행됩니다. 사건번호 2026가단11234. 전자송달 확인: http://scourt-edoc-view.xyz,"['[Web발신] 고객님 택배 배송 주소 불일치로 반송 예정입니다. 확인 후 재배송 신청 바랍니다. http://dn-track.xyz/re', '[국민건강보험공단] 2026년 건강보험료 과납분 87,600원 환급 대상입니다. 7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund.net/req', '검찰청입니다. 귀하 명의 계좌가 범죄에 이용되었습니다. 즉시 010-0000-5678로 연락 바랍니다.']","{""is_smishing"": true, ""reason"": ""전자송달 확인이라는 유도 문구가 포함되어 있으며, 링크 도메인인 scourt-edoc-view.xyz는 법원 공식 도메인 www.scourt.go.kr과 다름니다. 사기 사이트로 오인될 가능성이 높습니다.""}","이 메시지는 법원 전자송달을 사칭한 법적 압박형 스미싱입니다. 소송, 출석, 궐석재판 같은 표현으로 공포심을 유발하고, 실제 법원 공식 경로가 아닌 .xyz 의심 도메인으로 접속을 유도합니다.",0.0,0.0,0.7394608112804417
[금융감독원] 보이스피싱 피해 의심 거래 탐지. 귀하의 계좌가 일시 정지될 예정이오니 본인인증 후 해제하세요. https://fss-account-verify.cyou,"['[OO은행] 고객님 계좌 이상거래가 감지되었습니다. 아래 앱을 설치하여 본인 확인을 진행해주세요. http://bank-safe.net/app.apk', '[국외발신] 본인인증이 필요합니다. 아래 링크에서 주민등록번호와 계좌번호를 입력해 주세요. http://auth-kr.net/verify', '검찰청입니다. 귀하 명의 계좌가 범죄에 이용되었습니다. 즉시 010-0000-5678로 연락 바랍니다.']","{""is_smishing"": true, ""reason"": ""금융감독원이 아닌 사기 조직이 위장한 발신자로, 본인인증을 명목으로 사기 앱이나 사이트로 유도하는 행위로 스미싱에 해당합니다.""}","이 메시지는 금융감독원을 사칭한 보안 위장형 스미싱입니다. 보이스피싱 예방을 명목으로 신뢰를 얻으려 하지만, 실제로는 계좌 정지 해제를 빌미로 비공식 링크에서 본인인증 정보를 탈취하려는 시도입니다.",0.75,1.0,0.8683459281467247
[병무청] 예비군 훈련 일정 변경 긴급 통보. 미확인 시 무단 불참 처리됩니다. 훈련 일정 확인: https://mma-yebigun-mobile.shop,"['[Web발신] 고객님 택배 배송 주소 불일치로 반송 예정입니다. 확인 후 재배송 신청 바랍니다. http://dn-track.xyz/re', '[교통범칙금 안내] 귀하의 차량(12가3456)이 2026-03-15 속도위반으로 적발되었습니다. 미납 시 면허 정지 조치됩니다. 납부: http://fine-pay.top', '[국외발신] 본인인증이 필요합니다. 아래 링크에서 주민등록번호와 계좌번호를 입력해 주세요. http://auth-kr.net/verify']","{""is_smishing"": true, ""reason"": ""병무청 공식 홈페이지 주소가 아닙니다. 긴급 통보라는 유혹성 있는 문구와 함께 개인 정보 입력을 유도하는 링크가 포함되어 있습니다.""}","이 메시지는 병무청을 사칭한 행정기관형 스미싱입니다. 예비군 무단 불참이라는 불이익을 강조해 사용자의 클릭을 유도하고, 공식 병무청 도메인이 아닌 .shop 상업용 도메인을 통해 악성 페이지 접속을 유도합니다.",0.25,0.0,0.7978763282305872
"[Web발신] 통신요금 환급 안내. 5G 요금제 과오납분 142,500원이 확인되었습니다. 통신3사 통합 환급 시스템에서 본인인증 후 즉시 수령 가능합니다. https://kt-skt-lgu-refund.help","['[Web발신] 안녕하세요. OO카드입니다. 해외 결제 500달러가 승인되었습니다. 본인 아닐 경우 즉시 고객센터 080-000-0000으로 연락 바랍니다.', '[Web발신] 고객님 택배 배송 주소 불일치로 반송 예정입니다. 확인 후 재배송 신청 바랍니다. http://dn-track.xyz/re', '[국민건강보험공단] 2026년 건강보험료 과납분 87,600원 환급 대상입니다. 7일 내 신청하지 않으면 소멸됩니다. 신청: http://nhis-refund.net/req']","{""is_smishing"": true, ""reason"": ""통신사가 아닌 제3자가 본인 인증을 요구하며, 금액이 포함된 링크를 통해 환급을 유도하는 것은 스미싱에 해당합니다.""}","이 메시지는 통신3사 통합 환급이라는 존재하지 않는 시스템을 만들어낸 신종 스미싱입니다. 실제로는 각 통신사가 개별적으로 환급을 처리하지만, 통합 시스템이라는 그럴듯한 명칭으로 사용자의 신뢰를 얻으려 시도하고 있으며, 통신사별 공식 도메인이 아닌 사설 .help 주소에서 본인인증 정보와 환급 계좌를 입력하도록 유도하는 변종 패턴입니다.",0.0,0.0,0.8228458261471057
[행정안전부] 주민등록증 갱신 대상자 안내. 모바일 신분증 발급 의무화에 따라 본인 인증 필수. https://mois-idcard-renew.work,"['[국외발신] 본인인증이 필요합니다. 아래 링크에서 주민등록번호와 계좌번호를 입력해 주세요. http://auth-kr.net/verify', '[OO은행] 고객님 계좌 이상거래가 감지되었습니다. 아래 앱을 설치하여 본인 확인을 진행해주세요. http://bank-safe.net/app.apk', '실제 스미싱 문자 사례 및 분석 (KISA 신고 기반). 공공기관 사칭 + 과태료 결제, 건강보험 환급 사기, 가족 사칭 긴급 자금 요청, 앱 업데이트 위장 악성코드, 정부 지원금 사기 등 다양한 실제 사례가 보고된다.']","{""is_smishing"": true, ""reason"": ""행정안전부를 사칭하여 주민등록증 갱신을 명분으로 본인 인증을 유도하고 있는 문자로, 링크를 통해 사기 피해가 발생할 수 있는 스미싱 유형에 해당합니다.""}","이 메시지는 행정안전부와 모바일 신분증 제도를 사칭한 신분정보 탈취형 스미싱입니다. 주민등록증 갱신과 모바일 신분증 발급을 공식 절차처럼 꾸미고, 비공식 .work 도메인에서 본인인증을 요구합니다.",0.6,1.0,0.8849001068543774
