text,label,label_quality_score,is_label_issue,pred_prob_normal,pred_prob_smishing
"안녕하세요, 로라 네, 이게 제가 매일 수익을 내는 데 사용하는 시스템이에요",1,0.067070395,True,0.9329296,0.067070395
계정이 정지되었을 수 있습니다. 자세한 내용을 보려면 클릭하세요.,1,0.06734222,True,0.93265784,0.06734222
"네, 그렇습니다. 전체적인 신체를 고려한다면. 상체만 생각하면 더 더워요. 아빠가 나를 데리러 오시기를 기다리고 있어요.",1,0.072946206,True,0.92705375,0.072946206
"ftdi가 당신과 함께 있나요, 아니면 연구실에 있나요?",1,0.07444307,True,0.92555696,0.07444307
"네, 그리고 자신의 상태를 아는 것은 전혀 도움이 되지 않는 것 같습니다.",1,0.0861512,True,0.9138488,0.0861512
기분이 좋지 않으신가요? 자신에 대한 자신감이 부족하다고 느끼시나요? 예/아니요 응답하여 자존감을 높이는 방법에 대한 정보를 얻으세요.,1,0.08919911,True,0.9108009,0.08919911
바우처에 대한 자세한 내용은 사기가 아닌지 확인하시기 바랍니다. 감사하고 안전하게 지내세요,1,0.089363374,True,0.9106366,0.089363374
귀하의 은행 계좌가 정지되었습니다. 자세한 내용을 보려면 이 링크를 클릭하세요.,1,0.09026518,True,0.90973485,0.09026518
당신만을 위한 특별 제안을 받으려면 전화하세요. 새로운 인터넷 제안을 받으려면 전화하세요,1,0.09643252,True,0.9035675,0.09643252
음마 지금 바뻐요? 아니 새로한게 아니라 지금 핸드폰액정이 깨져서 피씨로 올랏더니 이렇게 됏어 액정이 꺠졋는데 또 이런걸 보내 ㅋㅋ 엄마 네이버 아이디 있지? 아 아는선배가 문상을 대신 좀 사달라고 해서 ㅠㅠ 나한테 입금까지 다 한상태인데 못보내주고잇어 ㅠㅠ 왜? 핸드폰이 돼야 돈을 돌려주던 하지 ㅠㅠ 그게 나쁜거야 ? 왜? 상세하게 알려줘 나 별로 잘 모르거든 문화상품권 서점에서도 판다든데 엄마 몰라 여자라고 엄마 도와줘 이번만 예전에 신세도 좀 졋던 선배인데 응? 엄마가 좀 인터넷으로사 사줘 네이버로 이번만 해주자 피씨방에서는 어케사 ?,1,0.09867886,True,0.9013211,0.09867886
"나는 거시기를 원한다! 내 남편이 부재중입니다. 나를 만족시켜줄 진짜 남자가 필요해요. 문자열이 없는 작업을 위해 WIFE를 <NUM> 로 보내세요. (텍스트 STOP 2 끝, 텍스트 å 1.50ea. OTBox 731 LA1 7WS. )",0,0.098996855,True,0.098996855,0.9010032
호주를 훌륭하게 만드십시오. 최대 300km 떨어진 CBD까지 시드니까지 X시간 고속 열차 투표 X United Australia Party Clive Palmer Auth <URL>,0,0.09911291,True,0.09911291,0.9008871
첫 주 동안은 무료입니다! No1 Nokia 톤 4 매주 몹에게 8007로 NOKIA 문자를 보내세요 문자 메시지를 받고 친구에게 알려주세요 <URL> POBox <NUM> W45WQ norman150p/tone 16,0,0.10040895,True,0.10040895,0.899591
축복받은 금요일 세일 - 겨울 컬렉션에서 지금 바로 30 할인을 받으세요! 기간 한정 혜택을 제공하므로 지금 구매하세요 <URL>,0,0.10076874,True,0.10076874,0.89923126
캐나다 국세청은 INTERAC 전자 이체를 통해 마지막 혜택을 발행했습니다. 자금을 입금하려면 <URL> 아래 단계를 따르세요.,0,0.10165614,True,0.10165614,0.89834386
오늘 특별 식료품 세일 오후 오후에만 mobikwik 코드에서 정액 RS 할인 추가 할인 시간을 좀 더 활용하세요 wwwaskmegrogcerycom tc 신청,0,0.10228837,True,0.10228837,0.89771163
NAME?,1,0.10232238,True,0.8976776,0.10232238
녹색 고추의 맛을 즐기며 인도팩 경기를 즐겨보세요. 지금 greenchillicoin을 주문하세요. 모든 주문에서 할인 쿠폰 인도 TC,0,0.10270447,True,0.10270447,0.89729553
NHS 귀하는 Omicron PCR 테스트를 신청해야 합니다. 자세한 정보 및 신청을 원하시면 <URL> help.com/을 방문하세요.,0,0.10330948,True,0.10330948,0.89669055
도미노 치즈맛 피자가 위에서 전화를 걸었습니다. 전화 주문온라인 모바일 도미노스코인 cpn crmavldfebtc,0,0.10408986,True,0.10408986,0.89591014
Tam Mrs Muna 귀하의 도움말 세부 정보를 통해 귀하의 국가 인도에서 가난한 사람들을 돕기 위해 자선 기금을 이체하고 싶습니다. (계속 이메일),0,0.105011344,True,0.105011344,0.89498866
"친애하는 고객님, 수천 개의 예쁜 팔찌 rsgm 말라바르 골드 다이아몬드의 팔찌 축제 교환 제안은 2월까지 라자지나가르 스트리트 blk에서만 가능합니다.",0,0.105770916,True,0.105770916,0.8942291
"친애하는 고객님, 서두르세요 세일 기간이 남았습니다펭귄 키즈 여성용 의류 여성용 키즈 남성용 의류는 2월 전화까지만 유효합니다.",1,0.10616678,True,0.8938332,0.10616678
최고의 온라인 거래 및 제안을 받고 최고의 장치를 구입하십시오. 지금은 zopper 앱 mdealcotmtantqmjk에서만 검색하세요.,0,0.10828729,True,0.10828729,0.8917127
오늘이 던킨 도넛 파티 데이가 돌아왔습니다. 도넛을 구매하면 무료로 받을 수 있습니다. SMS 수신 거부 던키넌은 재고가 소진될 때까지 오늘만 유효합니다.,1,0.108594604,True,0.8914054,0.108594604
